GEO_ID,NAME,tract,total_population,CARES_exclusion_c,pay over 50,percentage-renters-less12k,ui_rate,unemployment rate,Risk of Job Displacement,non_high_school_per,college_per,med_income,renter_num,renter_per,mid_rent,rent_35,total,latinx,white,black,asian,include,CARES_exclusion_c bin,pay over 50 bin,percentage-renters-less12k bin,ui_rate bin,unemployment rate bin,Risk of Job Displacement bin,sum_rankings,RVI
1400000US36047015100,"Census Tract 151, Kings County, New York",36047015100,4216,0.32385777596062626,0.13,0.10618436406067679,0.10634146341463413,3.01,0.06127659574468085,3.9000000000000057,81.0,127076.0,857.0,51.0,2567.0,27.1,4216.0,18.9,65.6,1.7,5.2,1,5,1,1.0,3,1,1,12.0,1
1400000US36047015200,"Census Tract 152, Kings County, New York",36047015200,2382,0.03847105669185569,0.34,0.26605504587155965,0.018244803695150025,4.26,0.10072595281306715,16.0,45.1,93516.0,327.0,39.5,1434.0,53.6,2382.0,11.7,57.3,2.5,25.8,0,,,,,,,,0
1400000US36047015300,"Census Tract 153, Kings County, New York",36047015300,2678,0.11998726893203893,0.17,0.12087912087912088,-0.2053537284894842,6.62,0.08333333333333333,5.0,77.1,130417.0,637.0,56.9,2011.0,21.9,2678.0,16.9,68.0,1.6,7.0,1,2,1,1.0,1,3,1,9.0,1
1400000US36047015400,"Census Tract 154, Kings County, New York",36047015400,0,0.0,,,-inf,,,,,,0.0,,,,0.0,,,,,0,,,,,,,,0
1400000US36047015500,"Census Tract 155, Kings County, New York",36047015500,4028,0.28768706159384305,0.11,0.12005108556832694,0.06525369299935768,4.14,0.04835680751173709,6.700000000000002,77.8,152237.0,783.0,50.7,2249.0,27.0,4028.0,7.1,73.7,4.9,4.2,1,4,1,1.0,2,2,1,11.0,1
1400000US36047015700,"Census Tract 157, Kings County, New York",36047015700,4049,0.0,0.12,0.08877551020408163,-0.012432432432432527,3.25,0.03868930122384524,0.9000000000000057,87.6,107063.0,980.0,49.3,2096.0,25.5,4049.0,8.9,72.8,3.5,10.5,1,1,1,1.0,1,1,1,6.0,1
1400000US36047015900,"Census Tract 159, Kings County, New York",36047015900,5314,0.1720378735848701,0.15,0.12966252220248667,0.1279377431906612,4.21,0.04428044280442804,1.2000000000000028,82.6,126250.0,1126.0,46.7,2420.0,26.9,5314.0,7.7,78.7,1.7,7.1,1,3,1,1.0,3,2,1,11.0,1
1400000US36047016000,"Census Tract 160, Kings County, New York",36047016000,3965,0.0,0.25,0.22443890274314215,0.10641102456560814,2.54,0.16571969696969696,15.200000000000005,47.5,71611.0,1203.0,76.5,1528.0,35.3,3965.0,27.4,48.3,2.6,18.4,1,1,2,2.0,3,1,3,12.0,1
1400000US36047016100,"Census Tract 161, Kings County, New York",36047016100,3235,0.2102523053261206,0.18,0.10173410404624278,-0.14232365145228254,4.35,0.055342465753424656,3.0999999999999943,70.9,128421.0,865.0,62.6,2214.0,24.8,3235.0,12.9,63.3,5.8,6.9,1,3,1,1.0,1,2,1,9.0,1
1400000US36047016200,"Census Tract 162, Kings County, New York",36047016200,2204,0.03572191084392029,0.24,0.22703412073490814,0.0,11.94,0.09585492227979274,2.4000000000000057,49.3,74512.0,762.0,69.2,1525.0,30.5,2204.0,20.9,72.5,2.2,3.2,1,1,2,2.0,2,5,1,13.0,1
